CASE #,DATE  OF OCCURRENCE, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,ARREST_N
HX350232,7/18/2014,BATTERY,SIMPLE,RESIDENCE,N,N,523,Y
HX351017,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1112,Y
HX447941,7/18/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,1831,Y
HX447959,7/18/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,N,N,1833,Y
HX350121,7/18/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,823,Y
HX349976,7/18/2014,THEFT,$500 AND UNDER,STREET,Y,N,1225,N
HX350270,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,624,Y
HX376258,7/18/2014,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESTAURANT,N,N,1934,Y
HX354163,7/18/2014,THEFT,$500 AND UNDER,OTHER,N,N,815,Y
HX353958,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1112,Y
HX353886,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,N,Y,2433,Y
HX356705,7/18/2014,THEFT,FROM BUILDING,APARTMENT,N,N,1935,Y
HX349920,7/18/2014,BATTERY,SIMPLE,STREET,Y,N,925,N
HX349953,7/18/2014,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,SIDEWALK,Y,N,1112,N
HX349949,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,N,1031,N
HX349936,7/18/2014,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,N,N,1631,Y
HX352714,7/18/2014,THEFT,FROM BUILDING,DAY CARE CENTER,N,N,414,Y
HX350033,7/18/2014,THEFT,RETAIL THEFT,GAS STATION,N,N,1923,Y
HX353815,7/18/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,112,Y
HX349929,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,421,Y
HY127246,7/18/2014,DECEPTIVE PRACTICE,EMBEZZLEMENT,COMMERCIAL / BUSINESS OFFICE,N,N,1831,Y
HX350027,7/18/2014,CRIMINAL TRESPASS,TO LAND,APARTMENT,N,N,221,Y
HX349995,7/18/2014,THEFT,$500 AND UNDER,CHA APARTMENT,N,N,434,Y
HX350014,7/18/2014,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),N,N,812,Y
HX349997,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,Y,N,1014,N
HX357168,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,623,Y
HX350011,7/18/2014,ASSAULT,SIMPLE,OTHER,N,N,1013,Y
HX351480,7/18/2014,BATTERY,SIMPLE,RESIDENCE,N,N,2413,Y
HX351303,7/18/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,2512,Y
HX349930,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1214,Y
HX349980,7/18/2014,BATTERY,SIMPLE,APARTMENT,Y,N,232,N
HX350236,7/18/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,725,Y
HX350348,7/18/2014,NARCOTICS,FOUND SUSPECT NARCOTICS,MEDICAL/DENTAL OFFICE,Y,N,124,N
HX349992,7/18/2014,CRIMINAL TRESPASS,TO LAND,GAS STATION,Y,N,623,N
HX349989,7/18/2014,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,SIDEWALK,Y,N,1533,N
HX349991,7/18/2014,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,STREET,Y,N,623,N
HX350888,7/18/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,713,N
HX349977,7/18/2014,PUBLIC PEACE VIOLATION,ARSON THREAT,STREET,N,N,1421,Y
HX349996,7/18/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,824,Y
HX350117,7/18/2014,ROBBERY,STRONGARM - NO WEAPON,DEPARTMENT STORE,N,N,2534,Y
HX349981,7/18/2014,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,N,N,2433,Y
HX356163,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,823,Y
HX350439,7/18/2014,ASSAULT,SIMPLE,STREET,N,N,611,Y
HX357186,7/18/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,1234,Y
HX356345,7/18/2014,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,BANK,N,N,1115,Y
HX350167,7/18/2014,THEFT,$500 AND UNDER,ALLEY,N,N,2514,Y
HX350688,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,711,Y
HX449608,7/18/2014,DECEPTIVE PRACTICE,DECEPTIVE COLLECTION PRACTICES,RESTAURANT,N,N,2032,Y
HX408064,7/18/2014,THEFT,OVER $500,OTHER,N,N,2033,Y
HX350248,7/18/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,2513,Y
HX351985,7/18/2014,THEFT,FROM BUILDING,APARTMENT,N,N,1234,Y
HX350162,7/18/2014,NARCOTICS,POSS: CRACK,RESIDENCE,Y,N,1523,N
HX349990,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,323,Y
HX350035,7/18/2014,THEFT,FROM BUILDING,SMALL RETAIL STORE,N,N,215,Y
HX350018,7/18/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,923,Y
HX350028,7/18/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,613,N
HX350008,7/18/2014,NARCOTICS,MANU/DELIVER:SYNTHETIC DRUGS,SIDEWALK,Y,N,612,N
HX350176,7/18/2014,THEFT,FROM BUILDING,OTHER,N,N,114,Y
HX350046,7/18/2014,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,621,Y
HX350175,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,2234,Y
HX350009,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,321,N
HX351723,7/18/2014,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),N,N,2412,Y
HX350101,7/18/2014,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,612,Y
HX350029,7/18/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,Y,N,712,N
HX350024,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1135,Y
HX350156,7/18/2014,NARCOTICS,POSS: HEROIN(WHITE),ABANDONED BUILDING,Y,N,1112,N
HX350032,7/18/2014,ASSAULT,SIMPLE,STREET,N,N,1121,Y
HX350049,7/18/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,1623,Y
HX350059,7/18/2014,THEFT,RETAIL THEFT,OTHER,Y,N,922,N
HX350041,7/18/2014,THEFT,$500 AND UNDER,OTHER,N,N,822,Y
HX350040,7/18/2014,THEFT,RETAIL THEFT,GROCERY FOOD STORE,Y,N,1631,N
HX354335,7/18/2014,THEFT,OVER $500,OTHER,N,N,1831,Y
HX350098,7/18/2014,ASSAULT,SIMPLE,SIDEWALK,N,N,1731,Y
HX350039,7/18/2014,THEFT,RETAIL THEFT,DRUG STORE,Y,N,1031,N
HX350070,7/18/2014,PUBLIC PEACE VIOLATION,PUBLIC DEMONSTRATION,GOVERNMENT BUILDING/PROPERTY,Y,N,121,N
HX350075,7/18/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARKING LOT/GARAGE(NON.RESID.),Y,N,1422,N
HX401744,7/18/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,N,N,321,Y
HX358362,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,1733,Y
HX350056,7/18/2014,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,"SCHOOL, PUBLIC, BUILDING",Y,N,1225,N
HX350139,7/18/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,Y,2515,Y
HX350691,7/18/2014,THEFT,$500 AND UNDER,APARTMENT,N,N,2032,Y
HX350725,7/18/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,1611,Y
HX358427,7/18/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1411,Y
HX354448,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1722,Y
HX364104,7/18/2014,THEFT,OVER $500,RESIDENCE-GARAGE,N,N,1224,Y
HX352672,7/18/2014,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,N,N,1611,Y
HX350321,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,GROCERY FOOD STORE,N,N,131,Y
HX350336,7/18/2014,THEFT,OVER $500,STREET,N,N,1225,Y
HX350073,7/18/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1132,N
HX350078,7/18/2014,ASSAULT,SIMPLE,"SCHOOL, PRIVATE, BUILDING",N,N,1823,Y
HX420537,7/18/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BAR OR TAVERN,N,N,1824,Y
HX420536,7/18/2014,THEFT,OVER $500,BAR OR TAVERN,N,N,1824,Y
HX350044,7/18/2014,CRIMINAL TRESPASS,TO LAND,DRUG STORE,Y,N,2424,N
HX352264,7/18/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,1932,Y
HX350282,7/18/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,Y,915,Y
HX350151,7/18/2014,ASSAULT,SIMPLE,STREET,Y,N,1931,N
HX350086,7/18/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,ALLEY,N,N,631,Y
HX350084,7/18/2014,THEFT,$500 AND UNDER,SIDEWALK,Y,N,931,N
HX350110,7/18/2014,BURGLARY,HOME INVASION,APARTMENT,Y,N,331,N
HX350130,7/18/2014,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,OTHER,N,N,1833,Y
HX350134,7/18/2014,BATTERY,SIMPLE,SIDEWALK,N,N,825,Y
HX359845,7/18/2014,THEFT,OVER $500,RESIDENCE,N,N,2422,Y
HX350092,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,825,Y
HX350093,7/18/2014,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,VEHICLE NON-COMMERCIAL,Y,N,512,N
HX350082,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,522,N
HX350125,7/18/2014,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,1121,N
HX350114,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1135,N
HX350100,7/18/2014,CRIMINAL TRESPASS,TO LAND,OTHER,Y,N,1935,N
HX350122,7/18/2014,BATTERY,SIMPLE,MEDICAL/DENTAL OFFICE,N,N,1733,Y
HX350131,7/18/2014,THEFT,RETAIL THEFT,DRUG STORE,N,N,431,Y
HX350166,7/18/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,Y,N,2413,N
HX350132,7/18/2014,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,N,N,632,Y
HX350146,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,424,Y
HX350746,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,823,Y
HX350202,7/18/2014,THEFT,$500 AND UNDER,DELIVERY TRUCK,N,N,111,Y
HX366780,7/18/2014,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,BANK,N,N,412,Y
HY312558,7/18/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,632,Y
HX350118,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,723,Y
HX355408,7/18/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,632,Y
HX350147,7/18/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1022,Y
HX360010,7/18/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,235,Y
HX350259,7/18/2014,THEFT,OVER $500,STREET,N,N,935,Y
HX350171,7/18/2014,THEFT,RETAIL THEFT,DRUG STORE,Y,N,1824,N
HX350128,7/18/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2432,Y
HX350165,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,2234,Y
HX350119,7/18/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,1934,Y
HX350363,7/18/2014,THEFT,FROM BUILDING,SIDEWALK,N,N,2512,Y
HX384514,7/18/2014,THEFT,OVER $500,OTHER,N,N,1424,Y
HX350149,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,131,Y
HX350148,7/18/2014,THEFT,$500 AND UNDER,APARTMENT,N,Y,314,Y
HX350173,7/18/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,1723,Y
HX350169,7/18/2014,BATTERY,SIMPLE,APARTMENT,Y,N,1522,N
HX358675,7/18/2014,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,N,N,234,Y
HX350303,7/18/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,2533,Y
HX350183,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1532,Y
HX350212,7/18/2014,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,Y,N,224,N
HX350163,7/18/2014,NARCOTICS,POSS: CRACK,SIDEWALK,Y,N,925,N
HX350376,7/18/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,1031,Y
HX350177,7/18/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2422,Y
HX350203,7/18/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,N,N,1231,Y
HX350191,7/18/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,Y,N,734,N
HX350401,7/18/2014,THEFT,FROM BUILDING,OTHER,N,N,122,Y
HX350184,7/18/2014,ASSAULT,SIMPLE,RESIDENCE,Y,Y,735,N
HX350310,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,421,Y
HX350223,7/18/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,823,N
HX350217,7/18/2014,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,Y,533,Y
HX350195,7/18/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,N,N,613,Y
HX350190,7/18/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,634,Y
HX355712,7/18/2014,ASSAULT,SIMPLE,RESTAURANT,N,N,1832,Y
HX350272,7/18/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,333,Y
HX350315,7/18/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,613,N
HX350207,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,2521,N
HX350226,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,631,Y
HX350218,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,N,Y,2222,Y
HX350247,7/18/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,CTA BUS STOP,N,N,611,Y
HX350275,7/18/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,1533,N
HX350181,7/18/2014,ASSAULT,SIMPLE,STREET,N,Y,1113,Y
HX350388,7/18/2014,BATTERY,PRO EMP HANDS NO/MIN INJURY,SIDEWALK,Y,N,1533,N
HX350214,7/18/2014,THEFT,RETAIL THEFT,OTHER,Y,N,833,N
HX350193,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,N,2212,Y
HX350243,7/18/2014,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,Y,N,1633,N
HX351762,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,1932,Y
HX351363,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,613,Y
HX398455,7/18/2014,THEFT,OVER $500,APARTMENT,N,N,2433,Y
HX351198,7/18/2014,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,APARTMENT,N,N,913,Y
HX350491,7/18/2014,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,513,N
HX358191,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,231,Y
HX350251,7/18/2014,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,Y,N,1823,N
HX354043,7/18/2014,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,N,N,2023,Y
HX353816,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,1612,Y
HX350529,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,332,Y
HX368624,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,421,Y
HX350260,7/18/2014,THEFT,FROM COIN-OP MACHINE/DEVICE,CTA BUS STOP,N,N,1621,Y
HX359841,7/18/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,414,Y
HX350228,7/18/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1021,Y
HX350230,7/18/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,422,N
HX350300,7/18/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,STREET,Y,N,1833,N
HX350253,7/18/2014,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,1722,N
HX350332,7/18/2014,BATTERY,SIMPLE,APARTMENT,Y,N,433,N
HX350377,7/18/2014,THEFT,PURSE-SNATCHING,SIDEWALK,N,N,122,Y
HX350422,7/18/2014,THEFT,OVER $500,APARTMENT,N,Y,332,Y
HX357107,7/18/2014,THEFT,$500 AND UNDER,AIRCRAFT,N,N,1651,Y
HX350288,7/18/2014,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,Y,N,1014,N
HX350327,7/18/2014,DECEPTIVE PRACTICE,IMPERSONATION,SMALL RETAIL STORE,Y,N,1212,N
HX350311,7/18/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,N,N,1811,Y
HX397734,7/18/2014,ASSAULT,SIMPLE,STREET,N,N,424,Y
HX350276,7/18/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,513,N
HX350603,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,1135,Y
HX350284,7/18/2014,THEFT,RETAIL THEFT,GROCERY FOOD STORE,Y,N,1034,N
HX350261,7/18/2014,THEFT,RETAIL THEFT,GROCERY FOOD STORE,N,N,1934,Y
HX350374,7/18/2014,BATTERY,SIMPLE,COLLEGE/UNIVERSITY GROUNDS,N,N,2432,Y
HX350423,7/18/2014,THEFT,FROM BUILDING,ATHLETIC CLUB,N,N,1432,Y
HX350384,7/18/2014,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,112,Y
HX350285,7/18/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENTIAL YARD (FRONT/BACK),Y,N,613,N
HX350323,7/18/2014,NARCOTICS,FORFEIT PROPERTY,STREET,Y,N,225,N
HX350364,7/18/2014,NARCOTICS,ATTEMPT POSSESSION NARCOTICS,SIDEWALK,Y,N,1112,N
HX350308,7/18/2014,THEFT,$500 AND UNDER,RESTAURANT,Y,N,1914,N
HX350335,7/18/2014,CRIMINAL TRESPASS,TO LAND,RESIDENCE-GARAGE,N,N,822,Y
HX351268,7/18/2014,BATTERY,SIMPLE,STREET,Y,N,2222,N
HX359784,7/18/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,1914,Y
HX351258,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,2412,Y
HX404279,7/18/2014,DECEPTIVE PRACTICE,BOGUS CHECK,RESIDENCE,N,N,1135,Y
HX350661,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1014,Y
HX350420,7/18/2014,THEFT,OVER $500,GROCERY FOOD STORE,N,N,1134,Y
HX350772,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,835,Y
HX350312,7/18/2014,ASSAULT,SIMPLE,OTHER,N,N,811,Y
HX353050,7/18/2014,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,815,Y
HX350762,7/18/2014,THEFT,$500 AND UNDER,APARTMENT,N,N,1431,Y
HX353867,7/18/2014,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, GROUNDS",N,N,1134,Y
HX355499,7/18/2014,CRIMINAL DAMAGE,TO STATE SUP PROP,"SCHOOL, PUBLIC, BUILDING",N,N,822,Y
HX355306,7/18/2014,THEFT,OVER $500,STREET,N,N,1221,Y
HX354757,7/18/2014,STALKING,CYBERSTALKING,OTHER,Y,N,1711,N
HX351412,7/18/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,STREET,N,N,1834,Y
HX351733,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,814,Y
HX377509,7/18/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,124,Y
HX350368,7/18/2014,THEFT,$500 AND UNDER,RESTAURANT,N,N,2512,Y
HX350371,7/18/2014,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,111,N
HX350342,7/18/2014,ASSAULT,SIMPLE,SIDEWALK,N,N,1224,Y
HX351068,7/18/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,624,Y
HX350320,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,N,Y,1031,Y
HX350481,7/18/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,N,N,321,Y
HX350461,7/18/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,433,Y
HX350314,7/18/2014,BATTERY,SIMPLE,GROCERY FOOD STORE,N,N,221,Y
HX350378,7/18/2014,CRIMINAL TRESPASS,TO LAND,BANK,Y,N,114,N
HX350379,7/18/2014,THEFT,RETAIL THEFT,GROCERY FOOD STORE,Y,N,2422,N
HX350330,7/18/2014,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,N,N,1112,Y
HX350343,7/18/2014,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,112,Y
HX351864,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,2232,Y
HX351663,7/18/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1214,Y
HX350389,7/18/2014,BATTERY,SIMPLE,STREET,N,N,1621,Y
HX351413,7/18/2014,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),N,N,1834,Y
HX350381,7/18/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SMALL RETAIL STORE,N,N,423,Y
HX356830,7/18/2014,BURGLARY,FORCIBLE ENTRY,VACANT LOT/LAND,N,N,624,Y
HX353883,7/18/2014,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),N,N,1522,Y
HX350856,7/18/2014,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,N,N,214,Y
HX350392,7/18/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,2512,N
HX350353,7/18/2014,THEFT,$500 AND UNDER,STREET,N,N,2412,Y
HX350347,7/18/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,Y,N,2232,N
HX351020,7/18/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,Y,N,2024,N
HX350393,7/18/2014,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,821,N
HX350372,7/18/2014,THEFT,POCKET-PICKING,SMALL RETAIL STORE,N,N,111,Y
HX350405,7/18/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,CHA PARKING LOT/GROUNDS,Y,N,533,N
HX350457,7/18/2014,NARCOTICS,POSS: HEROIN(WHITE),STREET,Y,N,624,N
HX350442,7/18/2014,THEFT,RETAIL THEFT,DRUG STORE,Y,N,2023,N
HX353803,7/18/2014,BURGLARY,UNLAWFUL ENTRY,WAREHOUSE,N,N,131,Y
HX350592,7/18/2014,THEFT,RETAIL THEFT,DEPARTMENT STORE,Y,N,1833,N
HX350380,7/18/2014,ROBBERY,ATTEMPT: AGGRAVATED,BANK,N,N,114,Y
HX350373,7/18/2014,BATTERY,PRO EMP HANDS NO/MIN INJURY,CTA BUS,N,N,322,Y
HX350470,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,N,N,831,Y
HX355490,7/18/2014,THEFT,OVER $500,RESIDENCE,N,N,1013,Y
HX351241,7/18/2014,ASSAULT,SIMPLE,SIDEWALK,N,N,533,Y
HX350615,7/18/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,221,Y
HX350413,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,N,N,831,Y
HX354230,7/18/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,824,Y
HX352776,7/18/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,1911,Y
HX353705,7/18/2014,BURGLARY,ATTEMPT FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,N,N,1433,Y
HX350383,7/18/2014,ASSAULT,SIMPLE,RESIDENCE,N,Y,1011,Y
HX350613,7/18/2014,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),N,N,622,Y
HX350455,7/18/2014,OTHER OFFENSE,LICENSE VIOLATION,SMALL RETAIL STORE,Y,N,414,N
HX350407,7/18/2014,ASSAULT,SIMPLE,RESIDENCE,N,N,1524,Y
HX350449,7/18/2014,NARCOTICS,POSS: CRACK,STREET,Y,N,613,N
HX350485,7/18/2014,NARCOTICS,POSS: COCAINE,RESIDENCE,Y,N,813,N
HX350419,7/18/2014,THEFT,RETAIL THEFT,SMALL RETAIL STORE,Y,N,714,N
HX350982,7/18/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE,N,N,1612,Y
HX369785,7/18/2014,THEFT,OVER $500,BAR OR TAVERN,Y,N,1831,N
HX355862,7/18/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,331,Y
HX350462,7/18/2014,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,BAR OR TAVERN,Y,N,911,N
HX350941,7/18/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,923,Y
HX350580,7/18/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),N,N,815,Y
HX350484,7/18/2014,NARCOTICS,POSS: CRACK,SIDEWALK,Y,N,1021,N
